backend,controller,mean_vehicle_queue,pedestrian_served_virtual,phase_switches,run_id,scenario_id,scope_warning,seed,steps,trace_count,vehicle_completed,vehicle_stopped_wait_max_s,vehicle_stopped_wait_mean_s,vehicle_stopped_wait_p95_s,vehicle_throughput_per_hour,vehicle_trip_time_mean_s,wall_time_s
sumo_traci_virtual_pedestrian,efficiency,91.18916666666667,60,119,sumo_actual__S1_balanced__efficiency__9001,S1_balanced,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; phase P_ALL is a vehicle-phase proxy.,9001,900,900,47,1198,461.3010225995412,1023,188.0,551.2340425531914,16.05335874399998
sumo_traci_virtual_pedestrian,efficiency,94.9325,70,119,sumo_actual__S1_balanced__efficiency__9002,S1_balanced,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; phase P_ALL is a vehicle-phase proxy.,9002,900,900,64,1198,451.7519202240188,1018,256.0,445.21875,16.931625921999967
sumo_traci_virtual_pedestrian,efficiency,99.59916666666666,60,119,sumo_actual__S1_balanced__efficiency__9003,S1_balanced,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; phase P_ALL is a vehicle-phase proxy.,9003,900,900,57,1198,455.72298965018115,1015,228.0,409.12280701754383,17.49984246600002
sumo_traci_virtual_pedestrian,efpb,88.71083333333333,130,119,sumo_actual__S1_balanced__efpb__9001,S1_balanced,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; phase P_ALL is a vehicle-phase proxy.,9001,900,900,124,1198,453.935530234,1026,496.0,202.6048387096774,19.638625074000174
sumo_traci_virtual_pedestrian,efpb,91.16833333333334,130,119,sumo_actual__S1_balanced__efpb__9002,S1_balanced,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; phase P_ALL is a vehicle-phase proxy.,9002,900,900,124,1198,449.0696239556864,1022,496.0,213.46774193548387,35.07751019900002
sumo_traci_virtual_pedestrian,efpb,96.8925,130,119,sumo_actual__S1_balanced__efpb__9003,S1_balanced,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; phase P_ALL is a vehicle-phase proxy.,9003,900,900,121,1198,454.1806985404787,1018,484.0,210.21487603305786,36.30474105400003
sumo_traci_virtual_pedestrian,equal_bargaining,89.72416666666666,0,119,sumo_actual__S1_balanced__equal_bargaining__9001,S1_balanced,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; phase P_ALL is a vehicle-phase proxy.,9001,900,900,0,1198,557.1002702727804,1051,0.0,0.0,35.721909204999974
sumo_traci_virtual_pedestrian,equal_bargaining,93.79333333333334,0,119,sumo_actual__S1_balanced__equal_bargaining__9002,S1_balanced,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; phase P_ALL is a vehicle-phase proxy.,9002,900,900,0,1198,554.3511976686332,1048,0.0,0.0,35.928511153000045
sumo_traci_virtual_pedestrian,equal_bargaining,97.04416666666667,0,119,sumo_actual__S1_balanced__equal_bargaining__9003,S1_balanced,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; phase P_ALL is a vehicle-phase proxy.,9003,900,900,0,1198,552.6701845379681,1046,0.0,0.0,36.821030328000006
sumo_traci_virtual_pedestrian,fixed_time,81.68666666666667,200,119,sumo_actual__S1_balanced__fixed_time__9001,S1_balanced,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; phase P_ALL is a vehicle-phase proxy.,9001,900,900,127,1198,490.6958806006692,1033,508.0,94.88188976377953,14.764498224999898
